128,6,6,2,,,,
 ,,,,,,,
nan,100,78,100,78,89,,
100,nan,78,100,78,89,,
78,78,nan,78,100,83.5,,
100,100,78,nan,78,89,,
78,78,100,78,nan,83.5,,86.8
135,8,8,4,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
132,7,7,3,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
127,4,8,3,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
138,2,3,3,,,,
 ,,,,,,,
nan,78,31,63,31,50.75,,
78,nan,38,78,38,58,,
31,38,nan,31,14,28.5,,
63,78,31,nan,31,50.75,,
31,38,14,31,nan,28.5,,43.3
136,5,5,2,,,,
 ,,,,,,,
nan,99,99,99,99,99,,
99,nan,100,100,100,99.75,,
99,100,nan,100,100,99.75,,
99,100,100,nan,100,99.75,,
99,100,100,100,nan,99.75,,99.6
140,5,3,3,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
131,3,5,2,,,,
 ,,,,,,,
nan,98,98,98,50,86,,
98,nan,99,100,52,87.25,,
98,99,nan,99,52,87,,
98,100,99,nan,52,87.25,,
50,52,52,52,nan,51.5,,79.8
132,3,7,2,,,,
 ,,,,,,,
nan,99,99,100,99,99.25,,
99,nan,100,99,100,99.5,,
99,100,nan,99,100,99.5,,
100,99,99,nan,99,99.25,,
99,100,100,99,nan,99.5,,99.4
139,6,8,4,,,,
 ,,,,,,,
nan,89,100,89,100,94.5,,
89,nan,89,100,89,91.75,,
100,89,nan,89,100,94.5,,
89,100,89,nan,89,91.75,,
100,89,100,89,nan,94.5,,93.4
132,4,4,2,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
134,6,3,2,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
128,5,5,3,,,,
 ,,,,,,,
nan,100,75,75,75,81.25,,
100,nan,75,75,75,81.25,,
75,75,nan,100,100,87.5,,
75,75,100,nan,100,87.5,,
75,75,100,100,nan,87.5,,85
128,2,5,2,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
132,2,8,3,,,,
 ,,,,,,,
nan,81,100,90,57,82,,
81,nan,81,89,69,80,,
100,81,nan,90,57,82,,
90,89,90,nan,63,83,,
57,69,57,63,nan,61.5,,77.7
136,7,3,3,,,,
 ,,,,,,,
nan,88,88,100,100,94,,
88,nan,100,88,88,91,,
88,100,nan,88,88,91,,
100,88,88,nan,100,94,,
100,88,88,100,nan,94,,92.8
138,7,8,4,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
138,5,5,2,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
128,7,5,4,,,,
 ,,,,,,,
nan,100,100,99,100,99.75,,
100,nan,100,99,100,99.75,,
100,100,nan,99,100,99.75,,
99,99,99,nan,99,99,,
100,100,100,99,nan,99.75,,99.6
129,2,5,3,,,,
 ,,,,,,,
nan,99,99,100,100,99.5,,
99,nan,99,99,99,99,,
99,99,nan,99,99,99,,
100,99,99,nan,100,99.5,,
100,99,99,100,nan,99.5,,99.3
127,5,3,2,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
138,6,8,2,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
131,7,5,2,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
130,6,8,2,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
130,7,3,4,,,,
 ,,,,,,,
nan,99,99,100,100,99.5,,
99,nan,100,99,99,99.25,,
99,100,nan,99,99,99.25,,
100,99,99,nan,100,99.5,,
100,99,99,100,nan,99.5,,99.4
125,3,4,2,,,,
 ,,,,,,,
nan,100,100,98,100,99.5,,
100,nan,100,98,100,99.5,,
100,100,nan,98,100,99.5,,
98,98,98,nan,98,98,,
100,100,100,98,nan,99.5,,99.2
137,3,7,2,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,
100,100,100,100,100,nan,,
100,100,100,100,100,100,,
100,100,100,100,100,100,,100
133,6,3,3,,,,
 ,,,,,,,
125,6,6,3,,,,
 ,,,,,,,
nan,99,99,99,99,99,,
99,nan,100,100,100,99.75,,
99,100,nan,100,100,99.75,,
99,100,100,nan,100,99.75,,
99,100,100,100,nan,99.75,,99.6
126,2,3,2,,,,
 ,,,,,,,
nan,77,62,70,51,65,,
77,nan,77,52,62,67,,
62,77,nan,44,52,58.75,,
70,52,44,nan,37,50.75,,
51,62,52,37,nan,50.5,,58.4
133,8,4,4,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
129,3,2,3,,,,
 ,,,,,,,
nan,100,54,100,54,77,,
100,nan,54,100,54,77,,
54,54,nan,54,100,65.5,,
100,100,54,nan,54,77,,
54,54,100,54,nan,65.5,,72.4
127,7,7,4,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
133,7,7,3,,,,
 ,,,,,,,
nan,100,83,83,100,91.5,,
100,nan,83,83,100,91.5,,
83,83,nan,100,83,87.25,,
83,83,100,nan,83,87.25,,
100,100,83,83,nan,91.5,,89.8
134,2,5,3,,,,
 ,,,,,,,
nan,98,98,97,97,97.5,,
98,nan,100,99,99,99,,
98,100,nan,99,99,99,,
97,99,99,nan,100,98.75,,
97,99,99,100,nan,98.75,,98.6
139,5,6,3,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
136,3,4,4,,,,
 ,,,,,,,
nan,100,85,100,85,92.5,,
100,nan,85,100,85,92.5,,
85,85,nan,85,100,88.75,,
100,100,85,nan,85,92.5,,
85,85,100,85,nan,88.75,,91
130,8,4,2,,,,
 ,,,,,,,
nan,83,100,83,83,87.25,,
83,nan,83,100,100,91.5,,
100,83,nan,83,83,87.25,,
83,100,83,nan,100,91.5,,
83,100,83,100,nan,91.5,,89.8
133,2,5,4,,,,
 ,,,,,,,
nan,78,78,97,99,88,,
78,nan,100,75,77,82.5,,
78,100,nan,75,77,82.5,,
97,75,75,nan,98,86.25,,
99,77,77,98,nan,87.75,,85.4
130,7,6,2,,,,
 ,,,,,,,
nan,99,100,100,99,99.5,,
99,nan,99,99,100,99.25,,
100,99,nan,100,99,99.5,,
100,99,100,nan,99,99.5,,
99,100,99,99,nan,99.25,,99.4
134,8,3,3,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
132,3,5,4,,,,
 ,,,,,,,
nan,99,91,91,71,88,,
99,nan,91,91,71,88,,
91,91,nan,100,77,89.75,,
91,91,100,nan,77,89.75,,
71,71,77,77,nan,74,,85.9
137,6,5,2,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
131,4,6,3,,,,
 ,,,,,,,
140,7,7,2,,,,
 ,,,,,,,
nan,99,99,100,100,99.5,,
99,nan,100,99,99,99.25,,
99,100,nan,99,99,99.25,,
100,99,99,nan,100,99.5,,
100,99,99,100,nan,99.5,,99.4
128,6,2,4,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
140,4,2,3,,,,
 ,,,,,,,
nan,90,90,99,90,92.25,,
90,nan,100,90,100,95,,
90,100,nan,90,100,95,,
99,90,90,nan,90,92.25,,
90,100,100,90,nan,95,,93.9
129,5,6,2,,,,
 ,,,,,,,
nan,53,53,53,53,53,,
53,nan,100,100,100,88.25,,
53,100,nan,100,100,88.25,,
53,100,100,nan,100,88.25,,
53,100,100,100,nan,88.25,,81.2
131,5,7,3,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
125,7,4,3,,,,
 ,,,,,,,
nan,100,100,99,99,99.5,,
100,nan,100,99,99,99.5,,
100,100,nan,99,99,99.5,,
99,99,99,nan,100,99.25,,
99,99,99,100,nan,99.25,,99.4
134,4,6,2,,,,
 ,,,,,,,
nan,100,98,98,98,98.5,,
100,nan,98,98,98,98.5,,
98,98,nan,100,100,99,,
98,98,100,nan,100,99,,
98,98,100,100,nan,99,,98.8
140,4,6,4,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
130,7,6,2,,,,
 ,,,,,,,
nan,99,100,100,99,99.5,,
99,nan,99,99,100,99.25,,
100,99,nan,100,99,99.5,,
100,99,100,nan,99,99.5,,
99,100,99,99,nan,99.25,,99.4
140,7,8,2,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
131,6,8,2,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
137,2,8,4,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
126,2,3,3,,,,
 ,,,,,,,
nan,43,31,63,78,53.75,,
43,nan,21,43,52,39.75,,
31,21,nan,31,38,30.25,,
63,43,31,nan,78,53.75,,
78,52,38,78,nan,61.5,,47.8
129,8,5,4,,,,
 ,,,,,,,
nan,100,88,88,88,91,,
100,nan,88,88,88,91,,
88,88,nan,100,100,94,,
88,88,100,nan,100,94,,
88,88,100,100,nan,94,,92.8
132,5,4,2,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
139,8,3,3,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
125,3,7,2,,,,
 ,,,,,,,
nan,100,97,97,98,98,,
100,nan,97,97,98,98,,
97,97,nan,100,99,98.25,,
97,97,100,nan,99,98.25,,
98,98,99,99,nan,98.5,,98.2
128,4,6,4,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
133,3,2,2,,,,
 ,,,,,,,
nan,99,99,99,100,99.25,,
99,nan,100,100,99,99.5,,
99,100,nan,100,99,99.5,,
99,100,100,nan,99,99.5,,
100,99,99,99,nan,99.25,,99.4
125,6,6,3,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
139,5,2,2,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
133,5,8,3,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
131,5,8,2,,,,
 ,,,,,,,
nan,100,100,100,99,99.75,,
100,nan,100,100,99,99.75,,
100,100,nan,100,99,99.75,,
100,100,100,nan,99,99.75,,
99,99,99,99,nan,99,,99.6
133,7,7,4,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
135,8,6,2,,,,
 ,,,,,,,
nan,99,100,99,99,99.25,,
99,nan,99,100,100,99.5,,
100,99,nan,99,99,99.25,,
99,100,99,nan,100,99.5,,
99,100,99,100,nan,99.5,,99.4
134,2,2,4,,,,
 ,,,,,,,
nan,nan,3,-3,7,2.333333333,,
nan,nan,9,2,nan,5.5,,
3,9,nan,7,-2,4.25,,
-3,2,7,nan,-5,0.25,,
7,nan,-2,-5,nan,0,,2.301587302
135,6,4,3,,,,
 ,,,,,,,
nan,100,99,100,100,99.75,,
100,nan,99,100,100,99.75,,
99,99,nan,99,99,99,,
100,100,99,nan,100,99.75,,
100,100,99,100,nan,99.75,,99.6
139,2,5,3,,,,
 ,,,,,,,
nan,97,100,97,97,97.75,,
97,nan,97,100,96,97.5,,
100,97,nan,97,97,97.75,,
97,100,97,nan,96,97.5,,
97,96,97,96,nan,96.5,,97.4
138,8,5,3,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
127,3,2,2,,,,
 ,,,,,,,
nan,99,99,99,99,99,,
99,nan,98,100,100,99.25,,
99,98,nan,98,98,98.25,,
99,100,98,nan,100,99.25,,
99,100,98,100,nan,99.25,,99
135,7,2,3,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
132,4,4,3,,,,
 ,,,,,,,
nan,100,100,100,100,100,,
100,nan,100,100,100,100,,
100,100,nan,100,100,100,,
100,100,100,nan,100,100,,
100,100,100,100,nan,100,,100
128,4,2,3,,,,
 ,,,,,,,
nan,100,98,98,98,98.5,,
100,nan,98,98,98,98.5,,
98,98,nan,98,100,98.5,,
98,98,98,nan,98,98,,
98,98,100,98,nan,98.5,,98.4