130,7,8,4,,,
 ,,,,,,
nan,92,69,82,95,84.5,
92,nan,61,85,97,83.75,
69,61,nan,53,64,61.75,
82,85,53,nan,83,75.75,
95,97,64,83,nan,84.75,78.1
129,3,4,4,,,
 ,,,,,,
nan,88,93,96,100,94.25,
88,nan,80,84,88,85,
93,80,nan,96,93,90.5,
96,84,96,nan,96,93,
100,88,93,96,nan,94.25,91.4
138,5,5,2,,,
 ,,,,,,
nan,93,93,93,28,76.75,
93,nan,100,100,25,79.5,
93,100,nan,100,25,79.5,
93,100,100,nan,25,79.5,
28,25,25,25,nan,25.75,68.2
133,8,6,2,,,
 ,,,,,,
nan,80,90,90,80,85,
80,nan,72,89,100,85.25,
90,72,nan,81,72,78.75,
90,89,81,nan,89,87.25,
80,100,72,89,nan,85.25,84.3
130,5,3,3,,,
 ,,,,,,
nan,93,79,85,93,87.5,
93,nan,85,92,100,92.5,
79,85,nan,93,85,85.5,
85,92,93,nan,92,90.5,
93,100,85,92,nan,92.5,89.7
136,8,2,4,,,
 ,,,,,,
nan,51,67,75,64,64.25,
51,nan,59,49,57,54,
67,59,nan,63,92,70.25,
75,49,63,nan,61,62,
64,57,92,61,nan,68.5,63.8
125,3,7,2,,,
 ,,,,,,
nan,89,100,100,100,97.25,
89,nan,89,89,89,89,
100,89,nan,100,100,97.25,
100,89,100,nan,100,97.25,
100,89,100,100,nan,97.25,95.6
130,5,8,3,,,
 ,,,,,,
nan,78,58,85,83,76,
78,nan,76,75,64,73.25,
58,76,nan,58,48,60,
85,75,58,nan,85,75.75,
83,64,48,85,nan,70,71
139,3,3,4,,,
 ,,,,,,
nan,86,78,82,80,81.5,
86,nan,92,95,93,91.5,
78,92,nan,96,98,91,
82,95,96,nan,98,92.75,
80,93,98,98,nan,92.25,89.8
126,6,2,3,,,
 ,,,,,,
nan,50,54,65,92,65.25,
50,nan,84,86,55,68.75,
54,84,nan,71,59,67,
65,86,71,nan,72,73.5,
92,55,59,72,nan,69.5,68.8
139,8,5,3,,,
 ,,,,,,
nan,100,96,93,99,97,
100,nan,96,93,99,97,
96,96,nan,89,96,94.25,
93,93,89,nan,93,92,
99,99,96,93,nan,96.75,95.4
140,7,8,4,,,
 ,,,,,,
nan,71,86,71,98,81.5,
71,nan,60,100,71,75.5,
86,60,nan,60,86,73,
71,100,60,nan,71,75.5,
98,71,86,71,nan,81.5,77.4
137,5,6,2,,,
 ,,,,,,
nan,100,100,100,100,100,
100,nan,100,100,100,100,
100,100,nan,100,100,100,
100,100,100,nan,100,100,
100,100,100,100,nan,100,100
129,2,2,2,,,
 ,,,,,,
nan,nan,nan,-2,nan,-2,
nan,nan,100,nan,100,100,
nan,100,nan,nan,100,100,
-2,nan,nan,nan,nan,-2,
nan,100,100,nan,nan,100,59.2
125,2,8,3,,,
 ,,,,,,
nan,41,69,75,70,63.75,
41,nan,58,48,53,50,
69,58,nan,69,75,67.75,
75,48,69,nan,88,70,
70,53,75,88,nan,71.5,64.6
135,3,4,3,,,
 ,,,,,,
nan,47,69,88,94,74.5,
47,nan,54,54,49,51,
69,54,nan,78,72,68.25,
88,54,78,nan,93,78.25,
94,49,72,93,nan,77,69.8
129,7,6,4,,,
 ,,,,,,
nan,81,81,81,81,81,
81,nan,100,100,99,95,
81,100,nan,100,99,95,
81,100,100,nan,99,95,
81,99,99,99,nan,94.5,92.1
125,7,7,3,,,
 ,,,,,,
nan,99,100,100,99,99.5,
99,nan,99,99,98,98.75,
100,99,nan,100,99,99.5,
100,99,100,nan,99,99.5,
99,98,99,99,nan,98.75,99.2
129,8,5,2,,,
 ,,,,,,
nan,75,75,83,100,83.25,
75,nan,100,91,75,85.25,
75,100,nan,91,75,85.25,
83,91,91,nan,83,87,
100,75,75,83,nan,83.25,84.8
135,6,4,3,,,
 ,,,,,,
nan,45,45,45,45,45,
45,nan,100,100,100,86.25,
45,100,nan,100,100,86.25,
45,100,100,nan,100,86.25,
45,100,100,100,nan,86.25,78
131,6,2,2,,,
 ,,,,,,
nan,100,100,92,86,94.5,
100,nan,100,92,86,94.5,
100,100,nan,92,86,94.5,
92,92,92,nan,93,92.25,
86,86,86,93,nan,87.75,92.7
137,7,5,2,,,
 ,,,,,,
nan,92,100,35,92,79.75,
92,nan,92,28,100,78,
100,92,nan,35,92,79.75,
35,28,35,nan,28,31.5,
92,100,92,28,nan,78,69.4
129,2,3,2,,,
 ,,,,,,
nan,100,100,100,100,100,
100,nan,100,100,100,100,
100,100,nan,100,100,100,
100,100,100,nan,100,100,
100,100,100,100,nan,100,100
137,7,3,2,,,
 ,,,,,,
nan,100,43,83,36,65.5,
100,nan,43,83,36,65.5,
43,43,nan,53,48,46.75,
83,83,53,nan,36,63.75,
36,36,48,36,nan,39,56.1
139,4,3,4,,,
 ,,,,,,
nan,65,76,76,79,74,
65,nan,85,85,52,71.75,
76,85,nan,100,62,80.75,
76,85,100,nan,62,80.75,
79,52,62,62,nan,63.75,74.2
139,4,4,2,,,
 ,,,,,,
nan,63,91,91,85,82.5,
63,nan,69,69,63,66,
91,69,nan,100,93,88.25,
91,69,100,nan,93,88.25,
85,63,93,93,nan,83.5,81.7
139,2,2,2,,,
 ,,,,,,
nan,nan,100,81,39,73.33333333,
nan,nan,nan,nan,nan,nan,
100,nan,nan,81,39,73.33333333,
81,nan,81,nan,28,63.33333333,
39,nan,39,28,nan,35.33333333,61.33333333
139,4,2,3,,,
 ,,,,,,
nan,83,86,33,84,71.5,
83,nan,86,33,69,67.75,
86,86,nan,35,79,71.5,
33,33,35,nan,42,35.75,
84,69,79,42,nan,68.5,63
128,7,2,4,,,
 ,,,,,,
nan,75,72,60,100,76.75,
75,nan,80,67,75,74.25,
72,80,nan,80,72,76,
60,67,80,nan,60,66.75,
100,75,72,60,nan,76.75,74.1
127,7,7,4,,,
 ,,,,,,
nan,68,80,80,97,81.25,
68,nan,86,83,68,76.25,
80,86,nan,97,80,85.75,
80,83,97,nan,83,85.75,
97,68,80,83,nan,82,82.2
140,2,5,2,,,
 ,,,,,,
nan,48,77,48,48,55.25,
48,nan,67,100,100,78.75,
77,67,nan,67,67,69.5,
48,100,67,nan,100,78.75,
48,100,67,100,nan,78.75,72.2
133,3,7,4,,,
 ,,,,,,
nan,96,94,98,85,93.25,
96,nan,91,95,82,91,
94,91,nan,93,82,90,
98,95,93,nan,86,93,
85,82,82,86,nan,83.75,90.2
127,7,4,2,,,
 ,,,,,,
nan,93,100,93,93,94.75,
93,nan,93,100,100,96.5,
100,93,nan,93,93,94.75,
93,100,93,nan,100,96.5,
93,100,93,100,nan,96.5,95.8
139,4,8,2,,,
 ,,,,,,
nan,77,77,77,92,80.75,
77,nan,100,100,70,86.75,
77,100,nan,100,70,86.75,
77,100,100,nan,70,86.75,
92,70,70,70,nan,75.5,83.3
134,7,7,3,,,
 ,,,,,,
nan,84,80,80,80,81,
84,nan,70,70,70,73.5,
80,70,nan,100,100,87.5,
80,70,100,nan,100,87.5,
80,70,100,100,nan,87.5,83.4
134,3,3,2,,,
 ,,,,,,
nan,100,100,100,100,100,
100,nan,100,100,100,100,
100,100,nan,100,100,100,
100,100,100,nan,100,100,
100,100,100,100,nan,100,100
126,7,3,3,,,
 ,,,,,,
nan,74,74,79,79,76.5,
74,nan,100,94,94,90.5,
74,100,nan,94,94,90.5,
79,94,94,nan,100,91.75,
79,94,94,100,nan,91.75,88.2
136,6,6,2,,,
 ,,,,,,
134,6,5,3,,,
 ,,,,,,
132,7,4,4,,,
 ,,,,,,
nan,53,56,34,34,44.25,
53,nan,54,68,69,61,
56,54,nan,48,48,51.5,
34,68,48,nan,98,62,
34,69,48,98,nan,62.25,56.2
127,4,5,4,,,
 ,,,,,,
nan,78,88,78,81,81.25,
78,nan,86,100,71,83.75,
88,86,nan,86,79,84.75,
78,100,86,nan,71,83.75,
81,71,79,71,nan,75.5,81.8
131,4,8,3,,,
 ,,,,,,
nan,88,94,100,96,94.5,
88,nan,86,88,89,87.75,
94,86,nan,94,94,92,
100,88,94,nan,96,94.5,
96,89,94,96,nan,93.75,92.5
130,2,6,4,,,
 ,,,,,,
nan,48,68,68,75,64.75,
48,nan,51,51,55,51.25,
68,51,nan,100,93,78,
68,51,100,nan,93,78,
75,55,93,93,nan,79,70.2
130,6,3,4,,,
 ,,,,,,
nan,60,65,76,82,70.75,
60,nan,59,60,63,60.5,
65,59,nan,71,71,66.5,
76,60,71,nan,93,75,
82,63,71,93,nan,77.25,70
127,2,4,4,,,
 ,,,,,,
nan,60,92,77,76,76.25,
60,nan,63,76,71,67.5,
92,63,nan,85,83,80.75,
77,76,85,nan,95,83.25,
76,71,83,95,nan,81.25,77.8
136,7,2,4,,,
 ,,,,,,
nan,48,55,44,41,47,
48,nan,88,72,86,73.5,
55,88,nan,71,75,72.25,
44,72,71,nan,74,65.25,
41,86,75,74,nan,69,65.4
138,3,8,4,,,
 ,,,,,,
nan,98,48,92,91,82.25,
98,nan,49,91,92,82.5,
48,49,nan,53,54,51,
92,91,53,nan,98,83.5,
91,92,54,98,nan,83.75,76.6
132,5,8,4,,,
 ,,,,,,
nan,77,49,45,99,67.5,
77,nan,67,61,76,70.25,
49,67,nan,90,49,63.75,
45,61,90,nan,44,60,
99,76,49,44,nan,67,65.7
132,7,2,3,,,
 ,,,,,,
nan,73,77,94,83,81.75,
73,nan,60,68,58,64.75,
77,60,nan,83,61,70.25,
94,68,83,nan,78,80.75,
83,58,61,78,nan,70,73.5
128,7,5,3,,,
 ,,,,,,
nan,100,99,91,99,97.25,
100,nan,99,91,99,97.25,
99,99,nan,92,100,97.5,
91,91,92,nan,92,91.5,
99,99,100,92,nan,97.5,96.2
132,3,7,4,,,
 ,,,,,,
nan,46,63,72,63,61,
46,nan,74,66,74,65,
63,74,nan,90,100,81.75,
72,66,90,nan,90,79.5,
63,74,100,90,nan,81.75,73.8
138,2,3,2,,,
 ,,,,,,
nan,85,85,85,100,88.75,
85,nan,100,100,85,92.5,
85,100,nan,100,85,92.5,
85,100,100,nan,85,92.5,
100,85,85,85,nan,88.75,91
132,3,2,3,,,
 ,,,,,,
nan,69,65,71,100,76.25,
69,nan,76,83,69,74.25,
65,76,nan,91,65,74.25,
71,83,91,nan,71,79,
100,69,65,71,nan,76.25,76
140,4,4,3,,,
 ,,,,,,
nan,91,49,73,43,64,
91,nan,53,75,39,64.5,
49,53,nan,61,47,52.5,
73,75,61,nan,56,66.25,
43,39,47,56,nan,46.25,58.7
136,2,2,3,,,
 ,,,,,,
nan,100,100,nan,nan,100,
100,nan,100,nan,nan,100,
100,100,nan,nan,nan,100,
nan,nan,nan,nan,nan,nan,
nan,nan,nan,nan,nan,nan,
135,3,4,3,,,
 ,,,,,,
nan,47,58,41,65,52.75,
47,nan,66,44,73,57.5,
58,66,nan,66,91,70.25,
41,44,66,nan,59,52.5,
65,73,91,59,nan,72,61
134,5,3,4,,,
 ,,,,,,
nan,82,82,93,74,82.75,
82,nan,100,77,91,87.5,
82,100,nan,77,91,87.5,
93,77,77,nan,70,79.25,
74,91,91,70,nan,81.5,83.7
140,7,2,3,,,
 ,,,,,,
nan,52,31,31,31,36.25,
52,nan,76,76,76,70,
31,76,nan,100,100,76.75,
31,76,100,nan,100,76.75,
31,76,100,100,nan,76.75,67.3
138,7,5,4,,,
 ,,,,,,
nan,81,59,81,53,68.5,
81,nan,49,100,44,68.5,
59,49,nan,49,84,60.25,
81,100,49,nan,44,68.5,
53,44,84,44,nan,56.25,64.4
128,7,5,2,,,
 ,,,,,,
nan,100,100,92,92,96,
100,nan,100,92,92,96,
100,100,nan,92,92,96,
92,92,92,nan,85,90.25,
92,92,92,85,nan,90.25,93.7
127,6,8,3,,,
 ,,,,,,
nan,94,98,71,94,89.25,
94,nan,92,73,99,89.5,
98,92,nan,70,93,88.25,
71,73,70,nan,74,72,
94,99,93,74,nan,90,85.8
133,6,7,4,,,
 ,,,,,,
nan,100,99,100,85,96,
100,nan,99,100,85,96,
99,99,nan,99,85,95.5,
100,100,99,nan,85,96,
85,85,85,85,nan,85,93.7
137,7,8,4,,,
 ,,,,,,
nan,92,88,85,86,87.75,
92,nan,93,92,92,92.25,
88,93,nan,96,98,93.75,
85,92,96,nan,96,92.25,
86,92,98,96,nan,93,91.8
126,3,2,2,,,
 ,,,,,,
nan,33,35,27,27,30.5,
33,nan,91,79,92,73.75,
35,91,nan,72,84,70.5,
27,79,72,nan,79,64.25,
27,92,84,79,nan,70.5,61.9
131,5,8,2,,,
 ,,,,,,
nan,40,40,100,99,69.75,
40,nan,100,40,40,55,
40,100,nan,40,40,55,
100,40,40,nan,99,69.75,
99,40,40,99,nan,69.5,63.8
139,7,7,2,,,
 ,,,,,,
nan,44,100,46,83,68.25,
44,nan,44,78,47,53.25,
100,44,nan,46,83,68.25,
46,78,46,nan,53,55.75,
83,47,83,53,nan,66.5,62.4
126,5,2,4,,,
 ,,,,,,
nan,83,61,92,59,73.75,
83,nan,71,76,74,76,
61,71,nan,58,84,68.5,
92,76,58,nan,54,70,
59,74,84,54,nan,67.75,71.2
135,5,6,3,,,
 ,,,,,,
nan,93,93,100,77,90.75,
93,nan,100,93,71,89.25,
93,100,nan,93,71,89.25,
100,93,93,nan,77,90.75,
77,71,71,77,nan,74,86.8
128,3,8,2,,,
 ,,,,,,
nan,91,48,100,92,82.75,
91,nan,40,91,83,76.25,
48,40,nan,48,50,46.5,
100,91,48,nan,92,82.75,
92,83,50,92,nan,79.25,73.5
127,7,8,4,,,
 ,,,,,,
nan,100,92,72,91,88.75,
100,nan,92,72,91,88.75,
92,92,nan,66,99,87.25,
72,72,66,nan,66,69,
91,91,99,66,nan,86.75,84.1
127,4,2,3,,,
 ,,,,,,
nan,25,30,62,62,44.75,
25,nan,69,44,44,45.5,
30,69,nan,28,28,38.75,
62,44,28,nan,100,58.5,
62,44,28,100,nan,58.5,49.2
137,4,7,4,,,
 ,,,,,,
nan,100,100,93,79,93,
100,nan,100,93,79,93,
100,100,nan,93,79,93,
93,93,93,nan,75,88.5,
79,79,79,75,nan,78,89.1
127,8,3,4,,,
 ,,,,,,
nan,84,97,81,96,89.5,
84,nan,84,74,88,82.5,
97,84,nan,81,93,88.75,
81,74,81,nan,77,78.25,
96,88,93,77,nan,88.5,85.5
125,2,2,2,,,
 ,,,,,,
nan,72,72,100,nan,81.33333333,
72,nan,100,72,nan,81.33333333,
72,100,nan,72,nan,81.33333333,
100,72,72,nan,nan,81.33333333,
nan,nan,nan,nan,nan,nan,81.33333333
136,5,8,2,,,
 ,,,,,,
nan,100,99,91,85,93.75,
100,nan,99,91,85,93.75,
99,99,nan,90,84,93,
91,91,90,nan,93,91.25,
85,85,84,93,nan,86.75,91.7
129,5,8,4,,,
 ,,,,,,
nan,47,98,100,78,80.75,
47,nan,47,47,39,45,
98,47,nan,98,79,80.5,
100,47,98,nan,78,80.75,
78,39,79,78,nan,68.5,71.1
127,7,4,3,,,
 ,,,,,,
nan,99,85,91,100,93.75,
99,nan,86,91,99,93.75,
85,86,nan,93,85,87.25,
91,91,93,nan,91,91.5,
100,99,85,91,nan,93.75,92
132,8,6,4,,,
 ,,,,,,
nan,62,98,68,45,68.25,
62,nan,62,93,61,69.5,
98,62,nan,67,46,68.25,
68,93,67,nan,56,71,
45,61,46,56,nan,52,65.8
125,8,2,3,,,
 ,,,,,,
nan,49,49,49,70,54.25,
49,nan,100,100,65,78.5,
49,100,nan,100,65,78.5,
49,100,100,nan,65,78.5,
70,65,65,65,nan,66.25,71.2
130,6,5,4,,,
 ,,,,,,
nan,46,100,100,70,79,
46,nan,46,46,59,49.25,
100,46,nan,100,70,79,
100,46,100,nan,70,79,
70,59,70,70,nan,67.25,70.7
125,4,8,4,,,
 ,,,,,,
nan,98,86,87,95,91.5,
98,nan,86,87,93,91,
86,86,nan,77,84,83.25,
87,87,77,nan,84,83.75,
95,93,84,84,nan,89,87.7
128,3,5,2,,,
 ,,,,,,
nan,29,41,29,41,35,
29,nan,79,100,79,71.75,
41,79,nan,79,100,74.75,
29,100,79,nan,79,71.75,
41,79,100,79,nan,74.75,65.6
125,3,8,4,,,
 ,,,,,,
nan,97,98,99,99,98.25,
97,nan,99,97,97,97.5,
98,99,nan,97,97,97.75,
99,97,97,nan,100,98.25,
99,97,97,100,nan,98.25,98
126,8,7,4,,,
 ,,,,,,
nan,69,98,73,75,78.75,
69,nan,69,91,92,80.25,
98,69,nan,75,76,79.5,
73,91,75,nan,98,84.25,
75,92,76,98,nan,85.25,81.6
140,5,2,4,,,
 ,,,,,,
nan,73,88,70,91,80.5,
73,nan,79,81,68,75.25,
88,79,nan,79,85,82.75,
70,81,79,nan,67,74.25,
91,68,85,67,nan,77.75,78.1
135,4,2,3,,,
 ,,,,,,
nan,30,100,23,96,62.25,
30,nan,30,78,33,42.75,
100,30,nan,23,96,62.25,
23,78,23,nan,22,36.5,
96,33,96,22,nan,61.75,53.1
136,2,7,4,,,
 ,,,,,,
nan,100,88,100,100,97,
100,nan,88,100,100,97,
88,88,nan,88,88,88,
100,100,88,nan,100,97,
100,100,88,100,nan,97,95.2
132,7,6,3,,,
 ,,,,,,
nan,83,99,92,90,91,
83,nan,83,89,92,86.75,
99,83,nan,93,90,91.25,
92,89,93,nan,97,92.75,
90,92,90,97,nan,92.25,90.8
132,5,5,4,,,
 ,,,,,,
nan,97,63,97,97,88.5,
97,nan,63,100,100,90,
63,63,nan,63,63,63,
97,100,63,nan,100,90,
97,100,63,100,nan,90,84.3